name,url,code,code_link,code_nav,has_children
Теплицы и поликарбонат,/category/teplitsy-i-polikarbonat-4684,teplitsy-i-polikarbonat-4684,teplitsy-i-polikarbonat-4684Link,teplitsy-i-polikarbonat-4684NavNode,True
Тент,/category/tent-5018,tent-5018,tent-5018Link,tent-5018NavNode,False
Спанбонд,/category/spanbond-4705,spanbond-4705,spanbond-4705Link,spanbond-4705NavNode,False
Комплектующие для теплиц,/category/komplektujushhie-dlja-teplic-4709,komplektujushhie-dlja-teplic-4709,termoshajba-4709Link,termoshajba-4709NavNode,False
Поликарбонат,/category/polikarbonat-4708,polikarbonat-4708,polikarbonat-4708Link,polikarbonat-4708NavNode,False
Теплицы,/category/teplitsy-4686,teplitsy-4686,pr-l3-teplitsyLink,pr-l3-teplitsyNavNode,False
Емкости для воды,/category/emkosti-dlja-vody-6575,emkosti-dlja-vody-6575,cmsitem_00030023,cmsitem_00030025,False
Товары для отдыха на природе,/category/tovary-dlja-otdyha-na-prirode-9341,tovary-dlja-otdyha-na-prirode-9341,tovary-dlja-otdyha-na-prirode-9341Link,tovary-dlja-otdyha-na-prirode-9341NavNode,True
Плиты газовые,/category/plity-gazovye-4845,plity-gazovye-4845,cmsitem_00377014,cmsitem_00377016,False
Средства от насекомых,/category/sredstva-ot-nasekomyh-4955,sredstva-ot-nasekomyh-4955,sredstva-ot-nasekomyh-4955Link,sredstva-ot-nasekomyh-4955NavNode,False
"Грили, мангалы и аксессуары",/category/grili-mangaly-i-aksessuary-9343,grili-mangaly-i-aksessuary-9343,grili-mangaly-i-aksessuary-9343Link,grili-mangaly-i-aksessuary-9343NavNode,True
Решетки-гриль,/category/reshetki-gril-4967,reshetki-gril-4967,reshetki-gril-4967Link,reshetki-gril-4967NavNode,False
Баллоны с газом,/category/ballony-s-gazom-4965,ballony-s-gazom-4965,ballony-s-gazom-4965Link,ballony-s-gazom-4965NavNode,False
Шампуры,/category/shampury-9344,shampury-9344,shampury-9344Link,shampury-9344NavNode,False
Мангалы,/category/mangaly-4962,mangaly-4962,mangaly-4962Link,mangaly-4962NavNode,False
Товары для дома и дачи,/category/tovary-dlja-doma-i-dachi-13345,tovary-dlja-doma-i-dachi-13345,tovary-dlja-doma-i-dachi-13345Link,tovary-dlja-doma-i-dachi-13345NavNode,True
Фонари,/category/fonari-5970,fonari-5970,fonari-5970Link,cmsitem_00029009,False
Изоленты,/category/izolenty-5887,izolenty-5887,izolenty-5887Link,cmsitem_00029005,False
Термометры,/category/termometry-4949,termometry-4949,termometry-4949Link,termometry-4949NavNode,False
Резиновые коврики,/category/rezinovye-kovriki-7913,rezinovye-kovriki-7913,rezinovye-kovriki-7913Link,cmsitem_00029003,False
"Крючки, застёжки, полоски",/category/krjuchki-zastezhki-poloski-8894,krjuchki-zastezhki-poloski-8894,krjuchki-zastezhki-poloski-8894Link,krjuchki-zastezhki-poloski-8894NavNode,True
Крючки,/category/krjuchki-8787,krjuchki-8787,krjuchki-8787Link,krjuchki-8787NavNode,False
Застежки,/category/zastezhki-4735,zastezhki-4735,zastezhki-4735Link,zastezhki-4735NavNode,False
"Веревки, шнуры, шпагаты",/category/verevki-shnury-shpagaty-5068,verevki-shnury-shpagaty-5068,verevki-shnury-shpagaty-5068Link,verevki-shnury-shpagaty-5068NavNode,True
Фалы,/category/faly-5073,faly-5073,faly-5073Link,faly-5073NavNode,False
Нити,/category/niti-5074,niti-5074,niti-5074Link,niti-5074NavNode,False
Шпагаты,/category/shpagaty-5069,shpagaty-5069,shpagaty-5069Link,shpagaty-5069NavNode,False
Шнуры,/category/shnury-5070,shnury-5070,shnury-5070Link,shnury-5070NavNode,False
Садовая техника,/category/sadovaja-tehnika-4615,sadovaja-tehnika-4615,sadovaja-tehnika-4615Link,sadovaja-tehnika-4615NavNode,True
Снегоуборщики,/category/snegouborschiki-7720,snegouborschiki-7720,snegouborschiki-benzinovye-7720Link,snegouborschiki-benzinovye-7720NavNode,False
Измельчители ,/category/izmelchiteli-4649,izmelchiteli-4649,kustorezy-elektricheskie-4649Link,cmsitem_00286001,False
Расходные материалы,/category/raskhodnye-materialy-9332,raskhodnye-materialy-9332,rashodnye-materialy-9332Link,rashodnye-materialy-9332NavNode,True
Свечи зажигания,/category/svechi-zazhiganija-40026,svechi-zazhiganija-40026,cmsitem_00052003,cmsitem_00052005,False
Канистры,/category/kanistry-6276,kanistry-6276,kanistra-6276Link,kanistra-6276NavNode,False
Для моек высокого давления,/category/dlja-moek-vysokogo-davlenija-40023,dlja-moek-vysokogo-davlenija-40023,cmsitem_00059000,cmsitem_00059002,False
Для цепных пил,/category/dlja-cepnyh-pil-6405,dlja-cepnyh-pil-6405,tsep-pilnaja-6405Link,tsep-pilnaja-6405NavNode,False
Для триммеров,/category/dlja-trimmerov-6508,dlja-trimmerov-6508,leska-6508Link,leska-6508NavNode,False
Для пылесосов,/category/dlja-pylesosov-6364,dlja-pylesosov-6364,meshki-dlja-pylesosa-6364Link,meshki-dlja-pylesosa-6364NavNode,False
Для буров,/category/dlja-burov-6480,dlja-burov-6480,shnek-dlja-grunta-6480Link,shnek-dlja-grunta-6480NavNode,False
Масла,/category/masla-7997,masla-7997,masla-dlja-dvigatelej-7997Link,cmsitem_00026005,False
Пылесосы и воздуходувки,/category/pylesosy-i-vozduhoduvki-13421,pylesosy-i-vozduhoduvki-13421,pylesosy-i-vozduhoduvki-13421Link,pylesosy-i-vozduhoduvki-13421NavNode,True
Воздуходувки аккумуляторные,/category/vozduhoduvki-akkumuljatornye-4641,vozduhoduvki-akkumuljatornye-4641,vozduhoduvki-akkumuljatornye-4641Link,vozduhoduvki-akkumuljatornye-4641NavNode,False
Пылесосы,/category/pylesosy-6072,pylesosy-6072,pylesosy-stroitelnye-6072Link,pylesosy-stroitelnye-6072NavNode,False
Мойки высокого давления,/category/mojki-vysokogo-davlenija-8464,mojki-vysokogo-davlenija-8464,mojki-vysokogo-davlenija-8464Link,mojki-vysokogo-davlenija-8464NavNode,False
Мотобуры,/category/motobury-6026,motobury-6026,motobury-6026Link,motobury-6026NavNode,False
Генераторы,/category/generatory-6019,generatory-6019,generatory-6019Link,generatory-6019NavNode,False
Электропилы,/category/elektropily-4617,elektropily-4617,elektropily-4617Link,elektropily-4617NavNode,False
Бензопилы,/category/benzopily-4616,benzopily-4616,benzopily-4616Link,benzopily-4616NavNode,False
Культиваторы,/category/kultivatory-13451,kultivatory-13451,kultivatory-13451Link,kultivatory-13451NavNode,True
Культиваторы электрические,/category/kultivatory-elektricheskie-4659,kultivatory-elektricheskie-4659,kultivatory-elektricheskie-4659Link,cmsitem_00286000,False
Культиваторы бензиновые,/category/kultivatory-benzinovye-4660,kultivatory-benzinovye-4660,kultivatory-benzinovye-4660Link,kultivatory-benzinovye-4660NavNode,False
Газонокосилки,/category/gazonokosilki-4619,gazonokosilki-4619,gazonokosilki-4619Link,gazonokosilki-4619NavNode,True
Газонокосилки электрические,/category/gazonokosilki-elektricheskie-4620,gazonokosilki-elektricheskie-4620,gazonokosilki-elektricheskie-4620Link,gazonokosilki-elektricheskie-4620NavNode,False
Газонокосилки бензиновые,/category/gazonokosilki-benzinovye-4621,gazonokosilki-benzinovye-4621,gazonokosilki-benzinovye-4621Link,gazonokosilki-benzinovye-4621NavNode,False
Триммеры и косы,/category/trimmery-i-kosy-9334,trimmery-i-kosy-9334,trimmery-i-kosy-9334Link,trimmery-i-kosy-9334NavNode,True
Триммеры аккумуляторные,/category/trimmery-akkumuljatornye-4635,trimmery-akkumuljatornye-4635,trimmery-akkumuljatornye-4635Link,trimmery-akkumuljatornye-4635NavNode,False
Триммеры бензиновые,/category/trimmery-benzinovye-4636,trimmery-benzinovye-4636,trimmery-benzinovye-4636Link,trimmery-benzinovye-4636NavNode,False
Триммеры электрические,/category/trimmery-elektricheskie-4634,trimmery-elektricheskie-4634,trimmery-elektricheskie-4634Link,trimmery-elektricheskie-4634NavNode,False
Садовый инструмент,/category/sadovyj-instrument-9302,sadovyj-instrument-9302,sadovyj-instrument-9302Link,sadovyj-instrument-9302NavNode,True
Буры садовые ручные,/category/bury-sadovye-ruchnye-4925,bury-sadovye-ruchnye-4925,bury-sadovye-ruchnye-4925Link,bury-sadovye-ruchnye-4925NavNode,False
Инструмент для посадки,/category/instrument-dlja-posadki-13425,instrument-dlja-posadki-13425,instrument-dlja-posadki-13425Link,instrument-dlja-posadki-13425NavNode,True
Рыхлители,/category/ryhliteli-9586,ryhliteli-9586,ryhliteli-9586Link,ryhliteli-9586NavNode,False
Совки посадочные,/category/sovki-posadochnye-8330,sovki-posadochnye-8330,sovki-posadochnye-8330Link,sovki-posadochnye-8330NavNode,False
Мотыги,/category/motygi-8389,motygi-8389,motygi-8389Link,motygi-8389NavNode,False
Лейки садовые,/category/lejki-sadovye-4927,lejki-sadovye-4927,lejki-sadovye-4927Link,cmsitem_00030011,False
Снегоуборочный инвентарь,/category/snegouborochnyj-inventar-9324,snegouborochnyj-inventar-9324,snegouborochnyj-inventar-9324Link,snegouborochnyj-inventar-9324NavNode,True
Скреперы для уборки снега,/category/skrepery-dlja-uborki-snega-4926,skrepery-dlja-uborki-snega-4926,skrepery-dlja-uborki-snega-4926Link,skrepery-dlja-uborki-snega-4926NavNode,False
Инструмент для обрезки,/category/instrument-dlja-obrezki-4932,instrument-dlja-obrezki-4932,sekatory-4932Link,sekatory-4932NavNode,False
Ведра и тазы,/category/vedra-i-tazy-6274,vedra-i-tazy-6274,vedra-i-tazy-6274Link,cmsitem_00030003,False
Опрыскиватели,/category/opryskivateli-7718,opryskivateli-7718,opryskivateli-7718Link,cmsitem_00030001,False
"Топоры, ножовки",/category/topory-nozhovki-40056,topory-nozhovki-40056,cmsitem_00029021,cmsitem_00029023,True
Ножовки,/category/nozhovki-8855,nozhovki-8855,cmsitem_00534002,cmsitem_00534004,False
Топоры,/category/topory-6299,topory-6299,topory-6299Link,cmsitem_00029025,False
"Щетки, грабли, вилы",/category/schetki-grabli-vily-13430,schetki-grabli-vily-13430,schetki-grabli-vily-13430Link,schetki-grabli-vily-13430NavNode,True
Черенки,/category/cherenki-6187,cherenki-6187,cherenki-6187Link,cmsitem_00029020,False
